Date Time,Slave_Device1_CH1_FLOW m3/h,Slave_Device1_CH2_VELOCITY m/s,Slave_Device1_CH3_Pressure BAR
2023-11-01 04:36:49,4.99,0.03,1.22
2023-11-01 04:43:49,0.0,0.0,1.34
2023-11-01 04:50:49,0.0,0.0,1.34
2023-11-01 04:57:49,0.0,0.0,1.35
2023-11-01 05:04:50,0.0,0.0,1.34
2023-11-01 05:11:50,0.0,0.0,1.34
2023-11-01 05:18:51,0.0,0.0,1.35
2023-11-01 05:25:51,0.0,0.0,1.35
2023-11-01 05:32:51,0.0,0.0,1.34
2023-11-01 05:39:52,0.0,0.0,1.36
2023-11-01 05:46:52,0.0,0.0,1.36
2023-11-01 05:53:52,0.0,0.0,1.34
2023-11-01 06:00:53,0.0,0.0,1.34
2023-11-01 06:07:53,0.0,0.0,1.34
2023-11-01 06:14:53,0.0,0.0,1.34
2023-11-01 06:21:54,0.0,0.0,1.34
2023-11-01 06:28:54,0.0,0.0,1.32
2023-11-01 06:35:54,0.0,0.0,1.34
2023-11-01 06:42:55,0.0,0.0,1.32
2023-11-01 06:49:55,0.0,0.0,1.32
2023-11-01 06:56:55,0.0,0.0,1.32
2023-11-01 07:03:56,0.0,0.0,1.29
2023-11-01 07:10:56,0.0,0.0,1.32
2023-11-01 07:14:59,0.0,0.0,1.32
2023-11-01 07:20:00,0.0,0.0,1.31
2023-11-01 07:25:00,0.0,0.0,1.29
2023-11-01 07:30:00,3.8,0.0,1.29
2023-11-01 07:35:01,0.0,0.0,1.29
2023-11-01 07:40:01,4.04,0.03,1.29
2023-11-01 07:45:01,0.0,0.0,1.29
2023-11-01 07:50:01,4.76,0.03,1.26
2023-11-01 07:55:01,5.11,0.04,1.26
2023-11-01 08:00:05,5.29,0.04,1.28
2023-11-01 08:05:02,4.66,0.03,1.26
2023-11-01 08:15:02,0.0,0.0,1.16
2023-11-01 08:20:03,3.95,0.03,1.16
2023-11-01 08:25:03,0.0,0.0,1.13
2023-11-01 08:30:03,0.0,0.0,1.12
2023-11-01 08:35:04,0.0,0.0,1.13
2023-11-01 08:40:04,0.0,0.0,1.09
2023-11-01 08:45:04,0.0,0.0,1.13
2023-11-01 08:50:04,3.77,0.0,1.16
2023-11-01 08:55:04,0.0,0.0,1.14
2023-11-01 09:00:08,0.0,0.0,1.15
2023-11-01 09:05:05,0.0,0.0,1.17
2023-11-01 09:10:05,4.26,0.03,1.17
2023-11-01 09:15:06,0.0,0.0,1.17
2023-11-01 09:20:06,0.0,0.0,1.17
2023-11-01 09:25:06,0.0,0.0,1.16
2023-11-01 09:30:06,0.0,0.0,1.16
2023-11-01 09:35:06,4.04,0.03,1.19
2023-11-01 09:40:07,0.0,0.0,1.17
2023-11-01 09:45:07,0.0,0.0,1.18
2023-11-01 09:50:07,0.0,0.0,1.16
