Date Time,Slave_Device1_CH1_FLOW m3/h,Slave_Device1_CH2_VELOCITY m/s,Slave_Device1_CH3_Pressure BAR
2023-11-01 00:04:32,0.0,0.0,0.91
2023-11-01 00:11:32,0.0,0.0,0.64
2023-11-01 00:18:32,0.0,0.0,0.5
2023-11-01 00:25:33,0.0,0.0,0.42
2023-11-01 00:32:33,0.0,0.0,0.36
2023-11-01 00:39:34,0.0,0.0,0.29
2023-11-01 00:46:34,0.0,0.0,0.24
2023-11-01 00:53:34,0.0,0.0,0.22
2023-11-01 01:00:35,0.0,0.0,0.2
2023-11-01 04:37:45,6.04,0.1,1.15
2023-11-01 04:44:46,2.83,0.05,1.24
2023-11-01 04:51:46,2.63,0.04,1.25
2023-11-01 04:58:47,2.21,0.03,1.25
2023-11-01 05:05:47,2.32,0.04,1.24
2023-11-01 05:12:47,2.69,0.04,1.23
2023-11-01 05:19:48,2.57,0.04,1.25
2023-11-01 05:26:48,2.55,0.04,1.25
2023-11-01 05:33:48,2.84,0.05,1.25
2023-11-01 05:40:49,2.4,0.04,1.25
2023-11-01 05:47:49,2.34,0.04,1.26
2023-11-01 05:54:49,3.2,0.05,1.26
2023-11-01 06:01:50,2.83,0.04,1.23
2023-11-01 06:08:50,3.14,0.05,1.24
2023-11-01 06:15:50,4.24,0.07,1.23
2023-11-01 06:22:51,4.29,0.07,1.22
2023-11-01 06:29:51,2.62,0.04,1.22
2023-11-01 06:36:51,3.5,0.06,1.22
2023-11-01 06:43:52,3.3,0.06,1.22
2023-11-01 06:50:52,2.63,0.04,1.2
2023-11-01 06:57:53,3.58,0.06,1.19
2023-11-01 07:04:53,3.15,0.05,1.19
2023-11-01 07:11:53,3.46,0.06,1.19
2023-11-01 07:16:54,5.41,0.09,1.19
2023-11-01 07:21:54,4.43,0.08,1.16
2023-11-01 07:26:54,5.79,0.1,1.18
2023-11-01 07:31:54,4.79,0.08,1.17
2023-11-01 07:36:54,4.16,0.07,1.16
2023-11-01 07:41:55,4.99,0.09,1.15
2023-11-01 07:46:55,5.29,0.09,1.13
2023-11-01 07:51:55,6.18,0.11,1.16
2023-11-01 07:56:56,5.66,0.1,1.16
