Date Time,Slave_Device1_CH1_FLOW m3/h,Slave_Device1_CH2_VELOCITY m/s,Slave_Device1_CH3_Pressure BAR
2024-01-01 12:53:27,7.24,0.12,1.18
2024-01-01 12:58:27,0.0,0.0,1.21
2024-01-01 13:03:27,0.0,0.0,1.22
2024-01-01 13:08:27,2.05,0.04,1.18
2024-01-01 13:13:28,0.0,0.0,1.21
2024-01-01 13:18:28,0.0,0.0,1.21
2024-01-01 13:23:28,0.0,0.0,1.19
2024-01-01 13:28:28,0.0,0.0,1.2
2024-01-01 13:33:29,0.0,0.0,1.19
2024-01-01 13:38:29,0.0,0.03,1.19
2024-01-01 13:43:29,0.0,0.0,1.21
2024-01-01 13:48:29,0.0,0.0,1.24
2024-01-01 13:53:30,0.0,0.0,1.2
2024-01-01 13:58:30,0.0,0.0,1.22
2024-01-01 14:03:30,0.0,0.0,1.21
2024-01-01 14:08:30,0.0,0.0,1.22
2024-01-01 14:13:31,0.0,0.0,1.22
2024-01-01 14:18:31,0.0,0.0,1.22
2024-01-01 14:23:31,0.0,0.0,1.23
2024-01-01 14:28:31,0.0,0.0,1.22
2024-01-01 14:33:31,0.0,0.0,1.21
2024-01-01 14:38:32,0.0,0.0,1.22
2024-01-01 14:43:32,0.0,0.0,1.23
2024-01-01 14:48:32,1.95,0.03,1.22
2024-01-01 14:53:34,0.0,0.0,1.22
2024-01-01 14:58:33,0.0,0.0,1.23
2024-01-01 15:03:33,0.0,0.0,1.22
2024-01-01 15:08:33,0.0,0.0,1.23
2024-01-01 15:13:34,0.0,0.0,1.24
2024-01-01 15:18:34,0.0,0.0,1.24
2024-01-01 15:23:34,0.0,0.0,1.26
2024-01-01 15:28:34,2.21,0.04,1.25
2024-01-01 15:33:35,0.0,0.03,1.23
2024-01-01 15:38:35,0.0,0.0,1.25
2024-01-01 15:43:35,0.0,0.0,1.26
2024-01-01 15:48:36,0.0,0.0,1.2
2024-01-01 15:53:36,0.0,0.0,1.21
2024-01-01 15:58:36,0.0,0.0,1.2
2024-01-01 16:03:36,0.0,0.0,1.22
2024-01-01 16:08:36,0.0,0.0,1.21
2024-01-01 16:13:37,0.0,0.0,1.19
2024-01-01 16:18:37,0.0,0.0,1.2
2024-01-01 16:23:37,0.0,0.0,1.2
2024-01-01 16:28:37,0.0,0.0,1.22
2024-01-01 16:33:38,0.0,0.0,1.19
2024-01-01 16:38:38,0.0,0.0,1.19
2024-01-01 16:43:38,0.0,0.0,1.21
2024-01-01 16:48:38,0.0,0.0,1.21
2024-01-01 16:53:39,2.45,0.04,1.2
2024-01-01 16:58:39,0.0,0.0,1.21
2024-01-01 17:03:39,0.0,0.0,1.22
2024-01-01 17:08:39,2.64,0.04,1.21
2024-01-01 17:13:40,1.98,0.03,1.21
2024-01-01 17:18:40,0.0,0.0,1.21
2024-01-01 17:23:40,11.28,0.2,1.16
2024-01-01 17:28:41,14.98,0.26,1.15
2024-01-01 17:33:41,13.73,0.24,1.15
2024-01-01 17:38:41,13.73,0.24,1.16
2024-01-01 17:43:41,16.16,0.28,1.14
2024-01-01 17:48:41,13.62,0.24,1.15
2024-01-01 17:53:42,13.53,0.24,1.14
2024-01-01 17:58:42,14.62,0.26,1.14
2024-01-01 18:03:42,13.62,0.24,1.15
2024-01-01 18:08:42,13.58,0.24,1.14
2024-01-01 18:13:43,13.53,0.24,1.14
2024-01-03 08:39:01,0.0,0.0,1.21
2024-01-03 08:42:31,0.0,0.0,1.23
2024-01-03 08:47:31,0.0,0.0,1.19
2024-01-03 08:52:31,0.0,0.0,1.2
2024-01-03 08:57:37,0.0,0.0,1.22
2024-01-03 09:02:35,0.0,0.0,1.2
2024-01-03 09:07:32,0.0,0.0,1.2
2024-01-03 09:12:32,0.0,0.0,1.22
2024-01-03 09:17:33,0.0,0.0,1.19
2024-01-03 09:22:33,0.0,0.0,1.18
2024-01-03 09:27:33,0.0,0.0,1.19
2024-01-03 09:32:34,0.0,0.0,1.16
2024-01-03 09:38:26,0.0,0.0,1.22
2024-01-03 09:42:34,0.0,0.0,1.17
2024-01-03 09:47:34,0.0,0.0,1.19
2024-01-03 09:52:34,0.0,0.0,1.16
2024-01-03 09:57:35,0.0,0.0,1.15
2024-01-03 10:02:35,0.0,0.0,1.18
2024-01-03 10:07:35,0.0,0.0,1.18
2024-01-03 10:12:36,0.0,0.0,1.18
2024-01-03 10:17:36,0.0,0.0,1.19
2024-01-03 10:22:36,0.0,0.0,1.18
2024-01-03 10:27:36,0.0,0.0,1.13
2024-01-03 10:32:36,2.46,0.05,1.12
2024-01-03 10:37:37,0.0,0.0,1.16
2024-01-03 10:42:37,4.66,0.08,1.16
2024-01-03 10:47:37,0.0,0.0,1.16
2024-01-03 10:52:37,0.0,0.0,1.16
2024-01-03 10:57:38,0.0,0.0,1.17
2024-01-03 11:02:38,0.0,0.0,1.25
2024-01-03 11:07:38,0.0,0.0,1.22
2024-01-03 11:12:39,0.0,0.0,1.24
2024-01-03 11:17:39,0.0,0.0,1.24
2024-01-03 11:22:39,0.0,0.0,1.24
2024-01-03 11:27:39,0.0,0.0,1.24
2024-01-03 11:32:40,0.0,0.0,1.23
2024-01-03 11:37:40,0.0,0.0,1.25
2024-01-03 11:42:40,0.0,0.0,1.24
2024-01-03 11:47:40,0.0,0.0,1.24
2024-01-03 11:52:40,2.82,0.04,1.24
2024-01-03 11:57:41,0.0,0.0,1.21
2024-01-03 12:02:41,0.0,0.0,1.2
2024-01-03 12:07:41,0.0,0.0,1.19
2024-01-03 12:12:42,5.29,0.09,1.19
2024-01-03 12:17:42,0.0,0.0,1.22
2024-01-03 12:22:42,0.0,0.0,1.22
2024-01-03 12:27:42,2.2,0.04,1.22
2024-01-03 12:32:43,0.0,0.0,1.22
2024-01-03 12:37:43,1.86,0.03,1.22
2024-01-03 12:42:43,0.0,0.0,1.23
2024-01-03 12:47:43,4.51,0.07,1.19
2024-01-03 12:52:44,0.0,0.0,1.16
2024-01-03 12:57:44,0.0,0.0,1.19
2024-01-03 13:02:44,3.12,0.06,1.19
2024-01-03 13:07:44,4.18,0.08,1.2
2024-01-03 13:12:45,3.84,0.06,1.22
2024-01-03 13:17:45,0.0,0.0,1.23
2024-01-03 13:22:45,0.0,0.0,1.24
2024-01-03 13:27:45,0.0,0.0,1.21
2024-01-03 13:32:46,2.58,0.04,1.19
2024-01-03 13:37:46,0.0,0.0,1.22
2024-01-03 13:42:46,0.0,0.0,1.23
2024-01-03 13:47:47,0.0,0.0,1.22
2024-01-03 13:52:47,0.0,0.0,1.25
2024-01-03 13:57:47,0.0,0.0,1.23
2024-01-03 14:02:47,0.0,0.0,1.25
2024-01-03 14:07:47,0.0,0.0,1.26
2024-01-03 14:12:47,1.97,0.04,1.24
2024-01-03 14:17:48,0.0,0.0,1.25
2024-01-03 14:22:48,0.0,0.0,1.24
2024-01-03 14:27:48,0.0,0.0,1.25
2024-01-03 14:32:49,0.0,0.0,1.26
2024-01-03 14:37:49,0.0,0.0,1.26
2024-01-03 14:42:49,0.0,0.0,1.26
2024-01-03 14:47:49,0.0,0.0,1.26
2024-01-03 14:52:50,0.0,0.0,1.26
2024-01-03 14:57:50,0.0,0.0,1.28
2024-01-03 15:02:50,0.0,0.0,1.28
2024-01-03 15:07:50,0.0,0.0,1.25
2024-01-03 15:12:51,0.0,0.0,1.25
2024-01-03 15:17:51,0.0,0.0,1.28
2024-01-03 15:22:51,0.0,0.0,1.26
2024-01-03 15:27:51,0.0,0.0,1.26
2024-01-03 15:32:52,0.0,0.0,1.28
2024-01-03 15:37:52,0.0,0.0,1.29
2024-01-03 15:42:52,0.0,0.0,1.28
2024-01-03 15:47:52,0.0,0.0,1.14
