Date Time,Slave_Device1_CH1_FLOW m3/h,Slave_Device1_CH2_VELOCITY m/s,Slave_Device1_CH3_Pressure BAR
2023-08-02 04:40:02,19.47,0.03,0.0
2023-08-02 04:51:03,0.01,0.0,0.0
2023-08-02 05:29:04,15.62,0.28,0.0
2023-08-02 05:40:05,15.53,0.02,0.0
2023-08-02 06:04:06,15.53,0.28,0.0
2023-08-02 06:16:07,15.12,0.27,0.0
2023-08-02 06:40:08,15.33,0.27,0.0
2023-08-02 06:52:09,15.23,0.27,0.0
2023-08-02 07:29:10,17.66,0.03,0.0
2023-08-02 07:39:14,0.01,0.0,0.0
2023-08-02 07:55:12,0.01,0.0,0.0
2023-08-02 08:06:13,15.48,0.27,1.09
2023-08-02 08:34:15,14.48,0.02,0.0
2023-08-02 09:01:15,18.66,0.33,0.0
2023-08-02 09:27:17,15.12,0.27,0.0
2023-08-02 09:41:17,0.0,0.0,0.98
2023-08-02 09:52:18,4.14,0.07,0.09
2023-08-02 10:58:26,0.05,0.0,0.0
2023-08-02 11:26:22,2.15,0.03,1.16
2023-08-02 11:53:24,1.82,0.0,0.0
2023-08-02 12:21:25,5.91,0.1,0.0
2023-08-02 12:50:27,2.14,0.03,0.01
2023-08-02 13:03:27,3.43,0.06,0.01
2023-08-02 13:33:29,4.99,0.08,0.0
2023-08-02 14:18:31,0.0,0.0,1.28
2023-08-02 15:30:35,1.66,0.03,0.01
2023-08-02 16:00:40,0.0,0.0,1.36
2023-08-02 16:30:38,1.7,0.03,0.0
2023-08-02 17:00:44,4.93,0.1,1.34
2023-08-03 04:49:03,14.28,0.02,0.0
2023-08-03 05:15:05,15.78,0.28,0.01
2023-08-03 05:27:05,19.25,0.34,0.11
2023-08-03 05:42:07,15.58,0.28,0.11
2023-08-03 06:22:08,15.53,0.28,0.01
2023-08-03 07:37:12,14.73,0.02,0.0
2023-08-03 08:36:15,22.66,0.4,0.99
2023-08-03 09:22:18,8.62,0.15,0.0
2023-08-04 04:48:29,12.73,0.02,0.0
2023-08-04 05:14:32,14.08,0.25,0.94
2023-08-04 05:26:32,14.53,0.26,0.1
2023-08-04 05:41:32,15.03,0.26,0.11
2023-08-04 06:21:35,15.23,0.27,1.16
2023-08-04 07:35:44,14.53,0.02,0.0
2023-08-04 08:05:39,14.62,0.26,0.1
2023-08-04 08:35:40,21.97,0.4,0.1
2023-08-04 09:22:43,13.98,0.25,1.01
2023-08-05 05:14:31,0.0,0.0,0.69
2023-08-05 05:26:32,0.0,0.0,0.82
2023-08-05 05:41:33,0.0,0.0,0.81
2023-08-05 07:06:37,4.04,0.06,0.0
2023-08-05 07:36:39,2.24,0.04,0.01
2023-08-05 08:35:41,0.0,0.0,1.13
2023-08-05 09:05:43,4.18,0.08,0.0
2023-08-05 09:20:44,5.43,0.09,0.0
2023-08-05 10:04:49,3.64,0.07,0.0
2023-08-05 11:50:53,2.21,0.03,0.0
2023-08-05 12:06:52,5.36,0.09,0.0
2023-08-10 16:25:34,9.0,0.0,1.0
2023-08-10 16:30:34,11.0,0.0,1.0
2023-08-10 16:35:35,9.0,0.0,1.0
2023-08-10 16:40:35,8.0,0.0,1.0
2023-08-10 16:45:35,10.0,0.0,1.0
2023-08-10 16:50:35,9.0,0.0,1.0
2023-08-10 16:54:39,8.0,0.0,0.0
2023-08-10 16:57:45,8.0,0.0,0.0
2023-08-10 17:02:45,9.0,0.0,0.0
2023-08-10 17:07:45,9.0,0.0,0.0
2023-08-10 17:13:43,9.0,0.0,1.0
2023-08-10 17:17:53,8.0,0.0,0.0
2023-08-10 17:22:46,9.0,0.0,0.0
2023-08-10 17:27:46,10.0,0.0,0.0
