"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-08-01 19:21:48","0.00","0.00","1.22","13.00"
"2023-08-02 02:00:54","-4.23","0.00","0.00","0.00"
"2023-08-02 02:20:55","0.00","0.00","0.19","0.00"
"2023-08-02 02:32:56","0.00","0.00","0.19","0.00"
"2023-08-02 02:43:56","0.00","0.00","0.18","0.00"
"2023-08-02 02:53:57","-3.76","-0.03","0.00","0.00"
"2023-08-02 03:05:57","0.00","0.00","0.18","0.00"
"2023-08-02 03:16:58","-3.89","-0.03","0.00","0.00"
"2023-08-02 03:29:59","0.00","0.00","0.18","0.00"
"2023-08-02 03:48:59","0.00","-0.03","0.00","0.00"
"2023-08-02 04:03:00","0.00","0.00","0.01","0.00"
"2023-08-02 04:16:01","0.00","0.00","0.01","0.00"
"2023-08-02 04:29:01","-3.80","0.00","0.00","0.00"
"2023-08-02 04:42:02","0.00","0.00","0.00","0.00"
"2023-08-02 05:05:04","0.00","0.00","0.00","0.00"
"2023-08-02 05:16:05","0.00","0.00","0.00","0.00"
"2023-08-02 05:30:04","0.00","0.00","0.00","0.00"
"2023-08-02 05:42:05","0.00","0.00","0.00","0.00"
"2023-08-02 05:55:06","0.00","0.00","0.12","0.00"
"2023-08-02 06:06:06","0.00","0.00","0.00","0.00"
"2023-08-02 06:18:07","0.00","0.00","0.00","0.00"
"2023-08-02 06:41:08","0.00","0.00","0.01","0.00"
"2023-08-02 07:06:10","0.00","0.00","0.01","0.00"
"2023-08-02 07:18:10","0.00","0.00","0.01","0.00"
"2023-08-02 07:31:11","0.00","0.00","0.00","0.00"
"2023-08-02 07:56:12","0.00","0.00","0.00","0.00"
"2023-08-02 08:24:13","0.00","0.00","0.00","0.00"
"2023-08-02 08:35:14","0.00","0.00","1.19","0.00"
"2023-08-02 09:03:16","0.00","0.00","0.00","0.00"
"2023-08-02 09:29:17","0.00","0.00","0.01","0.00"
"2023-08-02 09:43:18","0.00","0.00","0.01","0.00"
"2023-08-02 10:08:19","0.00","0.00","0.01","0.00"
"2023-08-02 10:20:23","0.00","0.00","0.01","0.00"
"2023-08-02 10:36:20","0.00","0.00","0.01","0.00"
"2023-08-02 10:49:23","0.00","0.00","0.00","0.00"
"2023-08-02 11:00:25","7.43","0.00","0.00","0.00"
"2023-08-02 11:16:22","8.62","0.00","0.00","0.00"
"2023-08-02 11:42:23","0.00","0.00","0.00","0.00"
"2023-08-02 11:55:24","5.43","0.04","1.29","0.00"
"2023-08-02 12:23:25","5.61","0.00","0.00","0.00"
"2023-08-02 12:52:28","4.43","0.03","0.00","0.00"
"2023-08-02 13:21:28","4.56","0.03","0.00","0.00"
"2023-08-02 13:34:30","0.00","0.03","0.01","0.00"
"2023-08-02 13:51:30","0.00","0.00","0.00","0.00"
"2023-08-02 14:05:31","4.41","0.00","0.00","0.00"
"2023-08-02 14:34:32","0.00","0.00","0.00","0.00"
"2023-08-02 14:49:33","5.31","0.04","0.14","0.00"
"2023-08-02 15:32:35","0.00","0.00","0.00","0.00"
"2023-08-02 16:17:37","0.00","0.00","0.01","0.00"
"2023-08-02 16:32:38","4.16","0.03","0.00","0.00"
"2023-08-02 16:48:39","0.00","0.00","0.00","0.00"
"2023-08-02 17:18:40","0.00","0.00","0.00","0.00"
"2023-08-03 02:00:56","0.00","0.00","0.00","0.00"
"2023-08-03 02:20:56","0.00","0.00","0.18","0.00"
"2023-08-03 02:32:57","0.00","0.00","0.18","0.00"
"2023-08-03 02:43:57","0.00","0.00","0.18","0.00"
"2023-08-03 02:53:58","-3.85","-0.03","0.00","0.00"
"2023-08-03 03:05:58","0.00","0.00","0.17","0.00"
"2023-08-03 03:16:59","0.00","0.00","0.17","0.00"
"2023-08-03 03:31:00","0.00","0.00","0.17","0.00"
"2023-08-03 03:49:02","0.00","0.00","0.00","0.00"
"2023-08-03 04:04:03","0.00","0.00","0.00","0.00"
"2023-08-03 04:15:02","-0.37","0.00","0.00","0.00"
"2023-08-03 04:36:03","0.00","0.00","0.00","0.00"
"2023-08-03 04:51:04","0.00","0.00","0.00","0.00"
"2023-08-03 05:17:05","0.00","0.00","0.00","0.00"
"2023-08-03 05:44:06","0.00","0.00","1.32","0.00"
"2023-08-03 05:56:07","0.00","0.00","1.32","0.00"
"2023-08-03 06:12:09","0.00","0.00","1.34","0.00"
"2023-08-03 06:40:09","0.00","0.00","0.00","0.00"
"2023-08-03 06:55:10","0.00","0.00","1.31","0.00"
"2023-08-03 07:09:11","0.00","0.00","0.00","0.00"
"2023-08-03 07:39:12","0.00","0.00","0.00","0.00"
"2023-08-03 08:08:14","0.00","0.00","0.00","0.00"
"2023-08-03 08:23:14","0.00","0.00","0.00","0.00"
"2023-08-03 08:37:15","0.46","0.00","0.00","0.00"
"2023-08-03 09:24:17","0.00","0.00","0.00","0.00"
"2023-08-03 09:41:18","0.00","0.00","1.11","0.00"
"2023-08-04 02:01:21","0.00","0.00","0.00","0.00"
"2023-08-04 02:21:22","0.00","0.00","0.18","0.00"
"2023-08-04 02:33:22","0.00","0.00","0.18","0.00"
"2023-08-04 02:44:23","0.00","0.00","0.18","0.00"
"2023-08-04 02:54:23","0.00","0.00","0.18","0.00"
"2023-08-04 03:06:24","0.00","0.00","0.18","0.00"
"2023-08-04 03:17:24","0.00","0.00","0.18","0.00"
"2023-08-04 03:31:25","0.00","0.00","0.18","0.00"
"2023-08-04 03:49:27","0.00","0.00","0.00","0.00"
"2023-08-04 04:04:28","0.00","0.00","0.00","0.00"
"2023-08-04 04:15:27","0.00","0.00","0.00","0.00"
"2023-08-04 04:36:28","0.00","0.00","0.00","0.00"
"2023-08-04 04:50:29","0.00","0.00","0.00","0.00"
"2023-08-04 05:16:30","0.00","0.00","0.00","0.00"
"2023-08-04 05:43:32","0.00","0.00","1.22","0.00"
"2023-08-04 05:55:32","0.00","0.00","1.29","0.00"
"2023-08-04 06:11:33","0.00","0.00","1.31","0.00"
"2023-08-04 06:39:35","0.00","0.00","0.00","0.00"
"2023-08-04 06:54:35","0.00","0.00","1.29","0.00"
"2023-08-04 07:08:36","0.00","0.00","0.00","0.00"
"2023-08-04 07:37:38","0.00","0.00","0.00","0.00"
"2023-08-04 08:07:39","0.00","0.00","0.00","0.00"
"2023-08-04 08:36:41","0.00","0.00","0.00","0.00"
"2023-08-04 09:23:43","0.00","0.00","0.00","0.00"
"2023-08-05 02:00:21","-3.74","0.00","0.00","0.00"
"2023-08-05 02:20:22","0.00","0.00","0.02","0.00"
"2023-08-05 02:32:24","0.00","0.00","0.02","0.00"
"2023-08-05 02:43:24","0.00","0.00","0.02","0.00"
"2023-08-05 02:53:24","0.00","-0.02","0.00","0.00"
"2023-08-05 03:05:25","0.00","0.00","0.01","0.00"
"2023-08-05 03:16:25","0.00","0.00","0.01","0.00"
"2023-08-05 03:30:26","-3.76","0.00","0.00","0.00"
"2023-08-05 03:48:28","0.00","0.00","0.01","0.00"
"2023-08-05 04:03:29","0.00","0.00","0.01","0.00"
"2023-08-05 04:14:28","0.00","0.00","0.01","0.00"
"2023-08-05 04:35:29","0.00","0.00","0.00","0.00"
"2023-08-05 04:50:30","0.00","0.00","0.00","0.00"
"2023-08-05 05:16:36","0.00","0.00","0.08","0.00"
"2023-08-05 05:43:33","0.00","0.00","0.09","0.00"
"2023-08-05 05:55:34","0.00","0.00","0.09","0.00"
"2023-08-05 06:11:34","0.00","0.00","0.01","0.00"
"2023-08-05 06:39:36","0.00","0.00","0.00","0.00"
"2023-08-05 06:54:36","0.00","0.00","0.00","0.00"
"2023-08-05 07:08:37","0.00","0.00","0.00","0.00"
"2023-08-05 07:38:39","0.00","0.00","0.00","0.00"
"2023-08-05 08:07:40","0.00","0.00","0.01","0.00"
"2023-08-05 08:22:41","0.00","0.00","0.00","0.00"
"2023-08-05 08:36:42","0.00","0.00","0.00","0.00"
"2023-08-05 09:22:44","0.00","0.00","0.00","0.00"
"2023-08-05 09:37:44","0.00","0.00","0.00","0.00"
"2023-08-05 09:52:47","5.93","0.00","0.00","0.00"
"2023-08-05 10:50:48","6.18","0.04","0.00","0.00"
"2023-08-05 11:07:52","0.00","0.00","0.00","0.00"
"2023-08-05 11:23:50","5.89","0.04","1.22","0.00"
"2023-08-05 11:37:51","5.86","0.04","0.12","0.00"
"2023-08-05 12:08:52","0.00","0.00","0.00","0.00"
"2023-08-07 17:33:09","0.00","0.00","0.00","0.00"
"2023-08-07 17:42:18","0.00","0.00","0.00","0.00"
"2023-08-07 17:43:12","0.00","0.00","0.00","0.00"
"2023-08-07 17:44:25","0.00","0.00","0.00","0.00"
"2023-08-07 17:45:12","0.00","0.00","0.00","0.00"
"2023-08-07 17:46:18","0.00","0.00","0.00","0.00"
"2023-08-07 17:47:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:48:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:49:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:50:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:51:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:52:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:53:13","0.00","0.00","0.00","0.00"
"2023-08-07 17:54:13","0.00","0.00","0.00","0.00"
"2023-08-09 13:27:30","0.00","0.00","0.00","13.00"
"2023-08-09 13:28:29","0.00","0.00","0.00","13.00"
"2023-08-09 13:29:29","0.00","0.00","0.00","13.00"
"2023-08-09 13:30:29","0.00","0.00","0.00","13.00"
"2023-08-09 13:48:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:49:30","0.00","0.00","0.00","13.00"
"2023-08-09 13:50:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:51:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:52:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:53:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:54:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:55:32","0.00","0.00","0.00","13.00"
"2023-08-09 13:56:31","0.00","0.00","0.00","13.00"
"2023-08-09 13:58:20","0.00","0.00","0.00","13.00"
"2023-08-09 14:03:59","0.00","0.00","0.00","13.00"
"2023-08-09 14:04:33","0.00","0.00","0.00","13.00"
"2023-08-09 14:05:33","0.00","0.00","0.00","13.00"
"2023-08-09 14:11:36","0.00","0.00","0.00","13.00"
"2023-08-09 14:17:00","0.00","0.00","0.00","13.00"
"2023-08-09 14:18:45","0.00","0.00","0.00","13.00"
"2023-08-09 14:19:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:20:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:21:33","0.00","0.00","0.00","13.00"
"2023-08-09 14:22:33","0.00","0.00","0.00","13.00"
"2023-08-09 14:23:34","0.00","0.00","0.00","13.00"
"2023-08-09 14:24:34","0.00","0.00","0.00","13.00"
"2023-08-09 14:25:33","0.00","0.00","0.00","13.00"
"2023-08-09 14:26:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:27:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:28:36","0.00","0.00","0.00","13.00"
"2023-08-09 14:29:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:30:32","0.00","0.00","0.00","13.00"
"2023-08-09 14:31:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:32:36","0.00","0.00","0.00","13.00"
"2023-08-09 14:33:37","0.00","0.00","0.00","13.00"
"2023-08-09 14:34:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:35:34","0.00","0.00","0.00","13.00"
"2023-08-09 14:36:34","0.00","0.00","0.00","13.00"
"2023-08-09 14:37:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:38:35","0.00","0.00","0.00","13.00"
"2023-08-09 14:39:36","0.00","0.00","0.00","13.00"
"2023-08-09 14:40:36","0.00","0.00","0.00","13.00"
