"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-12-01 00:11:03","-5.36","-0.04","0.81","12.50"
"2023-12-01 00:18:04","-5.27","-0.04","0.62","12.50"
"2023-12-01 00:25:04","-5.07","-0.04","0.52","12.50"
"2023-12-01 00:32:04","-6.07","-0.04","0.45","12.50"
"2023-12-01 00:42:02","-5.82","-0.04","0.38","12.50"
"2023-12-01 00:52:02","-4.53","-0.03","0.34","12.50"
"2023-12-01 01:02:03","-4.40","-0.03","0.30","12.50"
"2023-12-01 01:12:03","-3.82","-0.03","0.27","12.50"
"2023-12-01 01:22:04","0.00","0.00","0.25","12.50"
"2023-12-01 01:32:04","0.00","0.00","0.24","12.50"
"2023-12-01 01:42:05","0.00","0.00","0.22","12.50"
"2023-12-01 01:52:05","0.00","0.00","0.22","12.50"
"2023-12-01 02:02:06","-4.11","-0.03","0.20","12.50"
"2023-12-01 02:12:06","0.00","0.00","0.19","12.40"
"2023-12-01 02:22:07","0.00","0.00","0.17","12.40"
"2023-12-01 02:32:12","0.00","0.00","0.17","12.40"
"2023-12-01 02:42:08","0.00","0.00","0.16","12.40"
"2023-12-01 02:52:34","0.00","0.00","0.16","12.40"
"2023-12-01 02:56:53","0.00","0.00","0.16","12.40"
"2023-12-01 03:06:09","0.00","0.00","0.16","12.40"
"2023-12-01 03:16:10","0.00","0.00","0.16","12.40"
"2023-12-01 03:26:12","0.00","0.00","0.15","12.40"
"2023-12-01 03:36:13","0.00","0.00","0.15","12.40"
"2023-12-01 03:46:19","0.00","0.00","0.15","12.40"
"2023-12-01 03:56:15","0.00","0.00","0.15","12.30"
"2023-12-01 04:06:14","0.00","0.00","0.15","12.30"
"2023-12-01 04:16:15","6.51","0.05","0.68","12.30"
"2023-12-01 04:26:15","0.00","0.00","1.01","12.30"
"2023-12-01 04:36:16","0.00","0.00","1.03","12.30"
"2023-12-01 04:46:17","0.00","0.00","1.03","12.30"
"2023-12-01 04:56:17","0.00","0.00","1.03","12.30"
"2023-12-01 05:06:17","0.00","0.00","1.03","12.30"
"2023-12-01 05:16:18","0.00","0.00","1.03","12.30"
"2023-12-01 05:26:19","0.00","0.00","1.03","12.30"
"2023-12-01 05:36:19","0.00","0.00","1.25","12.30"
"2023-12-01 05:46:19","0.00","0.00","1.24","12.30"
"2023-12-01 05:56:20","0.00","0.00","1.24","12.30"
"2023-12-01 06:06:20","0.00","0.00","1.24","12.30"
"2023-12-01 06:16:21","0.00","0.00","1.24","12.30"
"2023-12-01 06:26:21","0.00","0.00","1.24","12.30"
"2023-12-01 06:36:21","0.00","0.00","1.24","12.30"
"2023-12-01 06:46:22","0.00","0.00","1.26","12.30"
"2023-12-01 06:56:23","0.00","0.00","1.24","12.30"
"2023-12-01 07:06:24","4.24","0.03","1.24","12.30"
"2023-12-01 07:16:24","4.36","0.03","1.24","12.30"
"2023-12-01 07:26:25","0.00","0.00","1.22","12.30"
