"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2024-01-01 00:10:39","0.00","0.00","1.41","12.40"
"2024-01-01 00:17:40","-4.66","-0.03","0.77","12.40"
"2024-01-01 00:24:40","-4.78","-0.03","0.59","12.40"
"2024-01-01 00:31:40","-4.66","-0.03","0.50","12.40"
"2024-01-01 00:38:41","-5.03","-0.04","0.43","12.40"
"2024-01-01 00:45:41","-5.07","-0.04","0.37","12.40"
"2024-01-01 00:52:41","-5.02","-0.04","0.33","12.40"
"2024-01-01 00:59:53","-4.16","-0.03","0.30","12.40"
"2024-01-01 01:06:42","-3.93","-0.03","0.28","12.40"
"2024-01-01 01:13:42","-3.85","-0.03","0.26","12.40"
"2024-01-01 01:20:43","-4.02","-0.03","0.25","12.40"
"2024-01-01 01:27:43","-3.93","-0.03","0.24","12.30"
"2024-01-01 01:34:43","-4.11","-0.03","0.23","12.30"
"2024-01-01 01:41:44","-4.11","-0.03","0.23","12.30"
"2024-01-01 01:48:44","-3.86","-0.03","0.22","12.30"
"2024-01-01 01:55:44","-3.80","-0.03","0.21","12.30"
"2024-01-01 02:02:45","-3.88","-0.03","0.20","12.30"
"2024-01-01 02:09:45","0.00","0.00","0.20","12.30"
"2024-01-01 02:16:46","-3.76","-0.03","0.19","12.30"
"2024-01-01 02:23:46","0.00","0.00","0.19","12.30"
"2024-01-01 02:30:46","-3.83","-0.03","0.18","12.30"
"2024-01-01 02:37:47","-3.74","-0.03","0.18","12.30"
"2024-01-01 02:44:47","0.00","-0.03","0.17","12.30"
"2024-01-01 02:51:47","0.00","0.00","0.17","12.30"
"2024-01-01 02:58:48","-3.86","-0.03","0.17","12.30"
"2024-01-01 03:05:48","-3.86","-0.03","0.17","12.30"
"2024-01-01 03:12:48","-3.76","-0.03","0.17","12.30"
"2024-01-01 03:19:49","-3.82","-0.03","0.17","12.30"
"2024-01-01 03:26:49","-3.80","-0.03","0.17","12.30"
"2024-01-01 03:33:49","-3.74","0.00","0.17","12.30"
"2024-01-01 03:40:50","-3.88","-0.03","0.16","12.30"
"2024-01-01 03:47:50","0.00","0.00","0.74","12.30"
"2024-01-01 03:54:50","0.00","0.00","0.88","12.30"
"2024-01-01 04:01:51","0.00","0.00","0.87","12.30"
"2024-01-01 04:08:51","0.00","0.00","0.87","12.30"
"2024-01-01 04:15:51","0.00","0.00","0.84","12.30"
"2024-01-01 04:22:55","0.00","0.00","0.87","12.30"
"2024-01-01 04:29:52","0.00","0.00","0.86","12.30"
"2024-01-01 04:36:52","0.00","0.00","0.86","12.30"
"2024-01-01 04:43:54","0.00","0.00","0.87","12.20"
"2024-01-01 04:50:53","0.00","0.00","0.86","12.20"
"2024-01-01 04:57:54","0.00","0.00","0.86","12.20"
"2024-01-01 05:04:54","0.00","0.00","0.89","12.20"
"2024-01-01 05:11:54","0.00","0.00","1.20","12.20"
"2024-01-01 05:18:55","0.00","0.00","1.20","12.20"
"2024-01-01 05:25:55","0.00","0.00","1.20","12.20"
"2024-01-01 05:32:55","0.00","0.00","1.20","12.20"
"2024-01-01 05:39:56","0.00","0.00","1.21","12.20"
"2024-01-01 05:46:56","0.00","0.00","1.22","12.20"
"2024-01-01 05:53:56","0.00","0.00","1.21","12.20"
"2024-01-01 06:00:57","0.00","0.00","1.21","12.10"
"2024-01-01 06:07:57","0.00","0.00","1.21","12.10"
"2024-01-01 06:14:58","0.00","0.00","1.21","12.10"
"2024-01-01 06:21:58","0.00","0.00","1.20","12.10"
"2024-01-01 06:28:58","0.00","0.00","1.21","12.10"
"2024-01-01 06:35:59","0.00","0.00","1.22","12.10"
"2024-01-01 06:42:59","0.00","0.00","1.21","12.10"
"2024-01-01 06:49:59","0.00","0.00","1.22","12.10"
"2024-01-01 06:57:00","0.00","0.00","1.38","12.10"
"2024-01-01 07:04:00","0.00","0.00","1.41","12.10"
"2024-01-01 07:11:00","0.00","0.00","1.41","12.10"
"2024-01-01 07:18:01","0.00","0.00","1.41","12.10"
