"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-07-28 12:58:53","0.00","0.00","0.00","0.00"
"2023-07-28 12:59:38","0.00","0.00","0.00","0.00"
"2023-07-28 13:00:04","0.00","0.00","0.00","0.00"
"2023-07-28 13:00:30","0.00","0.00","0.00","0.00"
"2023-07-28 13:01:07","0.00","0.00","0.00","0.00"
"2023-07-28 13:02:06","0.00","0.00","0.00","0.00"
"2023-07-28 13:03:07","0.00","0.00","0.00","0.00"
"2023-07-28 13:03:35","0.00","0.00","0.00","0.00"
"2023-07-28 13:41:53","0.00","0.00","0.00","0.00"
"2023-07-28 13:42:24","0.00","0.00","0.00","0.00"
"2023-07-28 13:49:56","0.00","0.00","0.00","0.00"
"2023-07-28 13:50:22","0.00","0.00","0.00","0.00"
"2023-07-28 13:54:56","0.00","0.00","0.00","0.00"
"2023-07-28 13:59:59","0.00","0.00","0.00","0.00"
"2023-07-28 14:04:57","0.00","0.00","0.00","0.00"
"2023-07-28 14:09:57","0.00","0.00","0.00","0.00"
"2023-07-28 14:14:57","0.00","0.00","0.00","0.00"
"2023-07-28 14:19:58","0.00","0.00","0.00","0.00"
