"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-10-01 00:10:08","-5.57","-0.04","0.66","12.60"
"2023-10-01 00:17:08","-5.11","-0.04","0.53","12.60"
"2023-10-01 00:24:08","-5.16","-0.04","0.44","12.60"
"2023-10-01 00:31:09","-4.82","-0.03","0.38","12.60"
"2023-10-01 00:38:09","-4.70","-0.03","0.34","12.60"
"2023-10-01 00:45:09","-4.82","-0.03","0.30","12.60"
"2023-10-01 00:52:10","-4.52","-0.03","0.29","12.60"
"2023-10-01 00:59:17","-4.70","-0.03","0.27","12.60"
"2023-10-01 01:06:10","-4.53","-0.03","0.26","12.60"
"2023-10-01 01:13:11","-4.48","-0.03","0.25","12.60"
"2023-10-01 01:20:11","-4.52","-0.03","0.25","12.60"
"2023-10-01 01:27:12","-4.52","-0.03","0.24","12.60"
"2023-10-01 01:34:12","-4.36","-0.03","0.24","12.60"
"2023-10-01 01:41:12","-4.48","-0.03","0.23","12.60"
"2023-10-01 01:48:13","-4.48","-0.03","0.23","12.60"
"2023-10-01 01:55:13","-4.82","-0.03","0.22","12.60"
"2023-10-01 02:02:13","-4.45","-0.03","0.22","12.60"
"2023-10-01 02:09:14","-4.28","-0.03","0.21","12.60"
"2023-10-01 02:16:14","-4.41","-0.03","0.21","12.60"
"2023-10-01 02:23:14","-4.41","-0.03","0.21","12.60"
"2023-10-01 02:30:15","-4.53","-0.03","0.20","12.60"
"2023-10-01 02:37:15","-4.45","-0.03","0.20","12.60"
"2023-10-01 02:44:15","-4.40","-0.03","0.20","12.60"
"2023-10-01 02:51:16","-4.41","-0.03","0.20","12.60"
"2023-10-01 02:58:16","-4.45","-0.03","0.19","12.60"
"2023-10-01 03:05:16","-4.41","-0.03","0.19","12.60"
"2023-10-01 03:12:17","-4.48","-0.03","0.19","12.60"
"2023-10-01 03:19:17","-4.53","-0.03","0.19","12.60"
"2023-10-01 03:26:17","-4.57","-0.03","0.19","12.60"
"2023-10-01 03:33:18","-4.57","-0.03","0.19","12.60"
"2023-10-01 03:40:18","-4.57","-0.03","0.18","12.60"
"2023-10-01 03:47:18","-4.53","-0.03","0.18","12.50"
"2023-10-01 03:54:19","-4.36","-0.03","0.18","12.50"
"2023-10-01 04:01:19","-4.41","-0.03","0.18","12.50"
"2023-10-01 04:08:20","-4.32","-0.03","0.18","12.50"
"2023-10-01 04:15:20","-4.28","-0.03","0.18","12.50"
"2023-10-01 04:22:20","-4.28","-0.03","0.17","12.50"
"2023-10-01 04:29:21","4.26","0.03","1.21","12.50"
"2023-10-01 04:36:21","4.86","0.03","1.36","12.50"
"2023-10-01 04:43:21","0.00","0.00","1.37","12.50"
"2023-10-01 04:50:22","0.00","0.00","1.38","12.50"
"2023-10-01 04:57:22","0.00","0.00","1.37","12.50"
"2023-10-01 05:04:22","0.00","0.00","1.38","12.50"
"2023-10-01 05:11:23","0.00","0.00","1.38","12.50"
"2023-10-01 05:18:23","0.00","0.00","1.37","12.50"
"2023-10-01 05:25:23","0.00","0.00","1.37","12.50"
"2023-10-01 05:32:24","0.00","0.00","1.38","12.50"
"2023-10-01 05:39:24","0.00","0.00","1.38","12.50"
"2023-10-01 05:46:25","0.00","0.00","1.38","12.50"
"2023-10-01 05:53:25","0.00","0.00","1.38","12.50"
"2023-10-01 06:00:25","0.00","0.00","1.38","12.50"
"2023-10-01 06:07:26","0.00","0.00","1.38","12.50"
"2023-10-01 06:14:26","0.00","0.00","1.38","12.50"
