"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-09-01 00:04:36","-5.27","-0.04","0.85","12.80"
"2023-09-01 00:09:36","-5.48","-0.04","0.73","12.80"
"2023-09-01 00:14:36","-5.23","-0.04","0.64","12.80"
"2023-09-01 00:19:36","-3.76","-0.03","0.55","12.80"
"2023-09-01 00:24:36","0.00","0.00","0.50","12.80"
"2023-09-01 00:29:37","0.00","0.00","0.45","12.80"
"2023-09-01 00:34:37","0.00","0.00","0.40","12.80"
"2023-09-01 00:39:37","0.00","0.00","0.37","12.80"
"2023-09-01 00:44:37","0.00","0.00","0.34","12.80"
"2023-09-01 00:49:38","0.00","0.00","0.32","12.80"
"2023-09-01 00:54:38","0.00","0.00","0.30","12.80"
"2023-09-01 00:59:47","0.00","0.00","0.29","12.80"
"2023-09-01 01:04:38","0.00","0.00","0.29","12.80"
"2023-09-01 01:09:39","0.00","0.00","0.28","12.80"
"2023-09-01 01:14:39","0.00","0.00","0.27","12.80"
"2023-09-01 01:19:39","0.00","0.00","0.26","12.80"
"2023-09-01 01:24:39","0.00","0.00","0.26","12.80"
"2023-09-01 01:29:40","0.00","0.00","0.25","12.80"
"2023-09-01 01:34:40","0.00","0.00","0.25","12.80"
"2023-09-01 01:42:28","0.00","0.00","0.24","12.80"
"2023-09-01 01:47:30","0.00","0.00","0.23","12.80"
"2023-09-01 01:52:29","0.00","0.00","0.23","12.80"
"2023-09-01 01:57:29","0.00","0.00","0.23","12.80"
"2023-09-01 02:02:29","0.00","0.00","0.22","12.80"
"2023-09-01 02:07:29","0.00","0.00","0.22","12.80"
"2023-09-01 02:12:30","0.00","0.00","0.21","12.80"
"2023-09-01 02:17:30","0.00","0.00","0.20","12.80"
"2023-09-01 02:22:30","0.00","0.00","0.21","12.70"
"2023-09-01 02:27:30","0.00","0.00","0.20","12.70"
"2023-09-01 02:32:31","0.00","0.00","0.20","12.70"
"2023-09-01 02:37:31","0.00","0.00","0.20","12.70"
"2023-09-01 02:42:31","0.00","0.00","0.19","12.70"
"2023-09-01 02:47:31","0.00","0.00","0.19","12.70"
"2023-09-01 02:52:37","0.00","0.00","0.19","12.70"
"2023-09-01 02:57:32","0.00","0.00","0.19","12.70"
"2023-09-01 03:02:32","0.00","0.00","0.18","12.70"
"2023-09-01 03:07:32","0.00","0.00","0.18","12.70"
"2023-09-01 03:12:33","0.00","0.00","0.18","12.70"
"2023-09-01 03:17:33","0.00","0.00","0.18","12.70"
