"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-11-22 18:54:35","-2.28","-0.04","0.98","13.00"
"2023-11-22 18:59:35","-1.96","-0.03","0.98","13.00"
"2023-11-22 19:04:36","-2.20","-0.03","0.98","13.00"
"2023-11-22 19:09:36","-1.70","-0.03","0.96","13.00"
"2023-11-22 19:14:36","-2.03","-0.03","0.98","13.00"
"2023-11-22 19:19:37","-2.30","-0.03","0.95","13.00"
"2023-11-22 19:24:37","-2.22","-0.04","0.97","13.00"
"2023-11-22 19:29:37","-2.28","-0.04","0.98","13.00"
"2023-11-22 19:34:37","-1.99","-0.03","0.98","13.00"
"2023-11-22 19:39:37","-2.18","-0.03","0.96","13.00"
"2023-11-22 19:44:38","-2.16","-0.03","0.97","13.00"
"2023-11-22 19:49:39","-2.18","-0.03","0.98","13.00"
"2023-11-22 19:54:38","-2.22","-0.03","0.98","13.00"
"2023-11-22 19:59:39","-2.05","-0.03","0.98","13.00"
"2023-11-22 20:04:39","-1.84","-0.03","0.97","13.00"
"2023-11-22 20:09:39","-2.24","-0.04","0.97","13.00"
"2023-11-22 20:14:39","-2.33","-0.04","0.97","13.00"
"2023-11-22 20:19:39","-1.96","-0.03","0.96","13.00"
"2023-11-22 20:24:40","-1.75","0.00","0.96","13.00"
"2023-11-22 20:29:40","-2.51","-0.04","0.96","13.00"
"2023-11-22 20:34:40","0.00","0.00","0.96","13.00"
"2023-11-22 20:39:41","-1.67","-0.03","0.97","13.00"
"2023-11-22 20:44:41","-1.73","-0.03","0.97","13.00"
"2023-11-22 20:49:41","-1.83","-0.03","0.97","13.00"
"2023-11-22 20:54:42","-1.87","-0.03","0.98","12.90"
"2023-11-22 20:59:42","-2.43","-0.04","0.97","12.90"
"2023-11-22 21:04:42","-2.20","-0.03","0.98","12.90"
"2023-11-22 21:09:42","0.00","-0.03","0.96","12.90"
"2023-11-22 21:14:42","-1.81","-0.03","0.99","12.90"
"2023-11-22 21:19:43","-1.89","-0.03","0.98","12.90"
"2023-11-22 21:24:43","-1.87","-0.03","0.99","12.90"
"2023-11-22 21:29:43","0.00","0.00","1.01","12.90"
"2023-11-22 21:34:43","-2.20","-0.04","1.01","12.90"
