"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-08-02 01:53:54","0.00","0.00","0.09","0.00"
"2023-08-02 02:04:54","0.00","0.00","0.09","0.00"
"2023-08-02 02:15:55","0.00","0.00","0.09","0.00"
"2023-08-02 02:25:55","0.00","0.00","0.00","0.00"
"2023-08-02 02:37:56","0.00","0.00","0.00","0.00"
"2023-08-02 02:48:57","0.00","0.00","0.00","0.00"
"2023-08-02 03:10:58","0.00","0.00","0.08","0.00"
"2023-08-02 03:31:59","0.00","0.00","0.08","12.80"
"2023-08-02 03:42:59","0.00","0.00","0.08","12.80"
"2023-08-02 03:55:00","0.00","0.00","0.08","0.10"
"2023-08-02 04:08:01","0.00","0.00","0.08","0.00"
"2023-08-02 04:58:03","0.00","0.00","1.16","0.00"
"2023-08-02 05:10:04","0.00","0.00","1.16","0.00"
"2023-08-02 05:22:04","0.00","0.00","1.20","0.00"
"2023-08-02 05:34:05","0.00","0.00","0.00","0.00"
"2023-08-02 05:47:06","0.00","0.00","0.00","0.00"
"2023-08-02 06:11:07","0.00","0.00","0.11","0.00"
"2023-08-02 06:21:08","0.00","0.00","0.00","0.00"
"2023-08-02 06:34:09","0.00","0.00","0.00","0.00"
"2023-08-02 06:47:08","0.00","0.00","0.00","0.00"
"2023-08-02 06:59:09","0.00","0.00","0.11","0.00"
"2023-08-02 07:11:10","0.00","0.00","0.11","0.00"
"2023-08-02 07:36:12","0.00","0.00","1.18","0.00"
"2023-08-02 08:01:13","0.00","0.00","1.13","0.00"
"2023-08-02 08:13:13","1.81","0.03","0.01","0.00"
"2023-08-02 08:28:14","0.00","0.00","0.00","0.00"
"2023-08-02 08:56:16","2.33","0.04","0.00","0.00"
"2023-08-02 09:22:16","0.02","0.00","0.00","0.00"
"2023-08-02 09:34:18","5.04","0.09","0.99","0.10"
"2023-08-02 09:48:18","3.89","0.06","0.98","0.10"
"2023-08-02 10:13:19","4.01","0.07","0.00","0.00"
"2023-08-02 10:40:20","0.00","0.00","1.03","0.00"
"2023-08-02 10:54:21","1.98","0.03","0.01","0.00"
"2023-08-02 11:20:22","2.63","0.04","0.01","0.00"
"2023-08-02 11:31:32","2.27","0.04","0.01","0.00"
"2023-08-02 11:48:24","2.74","0.04","0.01","0.00"
"2023-08-02 12:00:28","1.91","0.03","0.00","0.00"
"2023-08-02 12:29:26","0.00","0.00","0.00","0.00"
"2023-08-02 12:43:26","2.64","0.04","1.25","0.00"
"2023-08-02 13:26:28","0.00","0.00","0.12","0.00"
"2023-08-02 13:56:30","0.00","0.00","1.29","0.00"
"2023-08-02 14:25:32","3.19","0.05","0.01","0.00"
"2023-08-02 14:38:32","0.00","0.00","1.36","0.00"
"2023-08-02 14:55:33","0.00","0.00","0.00","0.00"
"2023-08-02 15:08:34","1.81","0.03","0.00","0.00"
"2023-08-02 15:37:35","0.00","0.00","1.34","0.10"
"2023-08-02 16:23:37","2.05","0.03","0.00","0.00"
"2023-08-02 16:37:38","0.00","0.00","1.36","0.00"
"2023-08-02 17:42:42","0.00","0.00","1.37","0.10"
"2023-08-03 01:53:55","0.00","0.00","0.09","0.00"
"2023-08-03 02:04:55","0.00","0.00","0.09","0.00"
"2023-08-03 02:15:56","0.00","0.00","0.09","0.00"
"2023-08-03 02:25:56","0.00","0.00","0.00","0.00"
"2023-08-03 02:37:57","0.00","0.00","0.00","0.00"
"2023-08-03 02:48:58","0.00","0.00","0.00","0.00"
"2023-08-03 03:10:59","0.00","0.00","0.08","0.00"
"2023-08-03 03:33:00","0.00","0.00","0.08","1.30"
"2023-08-03 03:44:00","0.00","0.00","0.08","1.30"
"2023-08-03 04:07:01","0.00","0.00","0.08","12.80"
"2023-08-03 04:18:02","0.00","0.00","0.08","12.80"
"2023-08-03 04:31:03","0.00","0.00","0.08","12.80"
"2023-08-03 04:55:04","0.00","0.00","1.14","0.00"
"2023-08-03 05:22:05","0.00","0.00","0.12","0.00"
"2023-08-03 05:49:07","0.00","0.00","0.00","0.00"
"2023-08-03 06:17:08","1.86","0.03","0.00","0.00"
"2023-08-03 06:44:10","0.00","0.00","0.00","0.00"
"2023-08-03 07:30:12","0.00","0.00","0.00","0.00"
"2023-08-03 08:00:16","2.12","0.03","0.00","0.00"
"2023-08-03 08:58:16","3.52","0.06","0.00","0.00"
"2023-08-03 09:14:17","0.00","0.00","0.00","0.00"
"2023-08-03 09:30:18","4.04","0.07","1.07","0.00"
"2023-08-03 09:47:23","3.08","0.05","1.00","0.00"
"2023-08-04 01:54:21","0.00","0.00","0.09","0.00"
"2023-08-04 02:05:21","0.00","0.00","0.09","0.00"
"2023-08-04 02:16:21","0.00","0.00","0.09","0.00"
"2023-08-04 02:26:22","0.00","0.00","0.00","0.00"
"2023-08-04 02:38:22","0.00","0.00","0.00","0.00"
"2023-08-04 02:49:23","0.00","0.00","0.00","0.00"
"2023-08-04 03:11:24","0.00","0.00","0.08","0.00"
