"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2024-01-01 00:04:42","0.00","0.00","1.32","12.70"
"2024-01-01 00:11:42","0.00","0.00","1.10","12.70"
"2024-01-01 00:18:43","0.00","0.00","0.64","12.70"
"2024-01-01 00:25:43","0.00","0.00","0.49","12.70"
"2024-01-01 00:32:44","0.00","0.00","0.39","12.70"
"2024-01-01 00:39:44","0.00","0.00","0.32","12.70"
"2024-01-01 00:46:44","0.00","0.00","0.27","12.70"
"2024-01-01 00:53:44","0.00","0.00","0.23","12.70"
"2024-01-01 01:00:45","0.00","0.00","0.20","12.70"
"2024-01-01 01:07:45","0.00","0.00","0.18","12.70"
"2024-01-01 01:14:45","0.00","0.00","0.17","12.70"
"2024-01-01 01:21:46","0.00","0.00","0.16","12.70"
"2024-01-01 01:28:46","0.00","0.00","0.15","12.70"
"2024-01-01 01:35:46","0.00","0.00","0.14","12.70"
"2024-01-01 01:42:47","0.00","0.00","0.13","12.60"
"2024-01-01 01:49:47","0.00","0.00","0.12","12.60"
"2024-01-01 01:56:48","0.00","0.00","0.12","12.60"
"2024-01-01 02:03:48","0.00","0.00","0.11","12.60"
"2024-01-01 02:10:48","0.00","0.00","0.10","12.60"
"2024-01-01 02:18:12","0.00","0.00","0.10","12.60"
"2024-01-01 02:24:49","0.00","0.00","0.09","12.60"
"2024-01-01 02:31:49","0.00","0.00","0.09","12.60"
"2024-01-01 02:38:50","0.00","0.00","0.08","12.60"
"2024-01-01 02:45:50","0.00","0.00","0.08","12.60"
"2024-01-01 02:52:50","0.00","0.00","0.08","12.60"
"2024-01-01 02:59:54","0.00","0.00","0.08","12.60"
"2024-01-01 03:06:51","0.00","0.00","0.08","12.60"
"2024-01-01 03:13:51","0.00","0.00","0.08","12.60"
"2024-01-01 03:20:52","0.00","0.00","0.08","12.60"
"2024-01-01 03:27:52","0.00","0.00","0.08","12.60"
"2024-01-01 03:34:52","0.00","0.00","0.07","12.60"
"2024-01-01 03:41:53","3.58","0.06","0.21","12.60"
"2024-01-01 03:48:53","0.00","0.00","0.67","12.60"
"2024-01-01 03:55:54","0.00","0.00","0.78","12.60"
"2024-01-01 04:02:54","0.00","0.00","0.78","12.60"
"2024-01-01 04:09:54","0.00","0.00","0.78","12.60"
"2024-01-01 04:16:55","0.00","0.00","0.77","12.60"
"2024-01-01 04:23:55","0.00","0.00","0.78","12.60"
"2024-01-01 04:30:55","0.00","0.00","0.78","12.60"
"2024-01-01 04:37:56","0.00","0.00","0.77","12.60"
"2024-01-01 04:44:56","0.00","0.00","0.77","12.60"
"2024-01-01 04:51:56","0.00","0.00","0.77","12.50"
"2024-01-01 04:58:57","0.00","0.00","0.77","12.50"
"2024-01-01 05:05:57","1.74","0.03","0.94","12.50"
"2024-01-01 05:12:57","0.00","0.00","1.09","12.50"
"2024-01-01 05:19:58","0.00","0.00","1.10","12.50"
"2024-01-01 05:26:58","0.00","0.00","1.10","12.50"
"2024-01-01 05:33:58","0.00","0.00","1.10","12.50"
"2024-01-01 05:40:59","0.00","0.00","1.11","12.50"
"2024-01-01 05:47:59","0.00","0.00","1.11","12.50"
"2024-01-01 05:54:59","0.00","0.00","1.11","12.50"
"2024-01-01 06:02:00","0.00","0.00","1.11","12.50"
"2024-01-01 06:09:00","0.00","0.00","1.10","12.50"
"2024-01-01 06:16:01","0.00","0.00","1.11","12.50"
"2024-01-01 06:23:01","0.00","0.00","1.11","12.50"
"2024-01-01 06:30:01","0.00","0.00","1.11","12.50"
"2024-01-01 06:37:02","0.00","0.00","1.13","12.50"
"2024-01-01 06:44:02","0.00","0.00","1.12","12.50"
"2024-01-01 06:51:03","0.00","0.00","1.13","12.50"
"2024-01-01 06:58:03","1.79","0.03","1.29","12.40"
"2024-01-01 07:05:03","0.00","0.00","1.31","12.40"
"2024-01-01 07:12:03","0.00","0.00","1.32","12.40"
"2024-01-01 07:19:04","0.00","0.00","1.32","12.40"
"2024-01-01 07:26:04","0.00","0.00","1.29","12.40"
"2024-01-01 07:33:04","1.98","0.03","1.31","12.40"
"2024-01-01 07:40:05","2.25","0.04","1.31","12.50"
"2024-01-01 07:47:05","0.00","0.00","1.29","12.50"
"2024-01-01 07:54:06","2.12","0.04","1.29","12.50"
"2024-01-01 08:01:14","2.83","0.04","1.29","12.70"
"2024-01-01 08:08:06","3.39","0.06","1.28","12.80"
"2024-01-01 08:13:06","2.95","0.05","1.29","13.00"
"2024-01-01 08:18:07","3.21","0.05","1.28","13.10"
"2024-01-01 08:23:07","2.45","0.04","1.29","13.10"
"2024-01-01 08:28:07","2.50","0.04","1.28","13.20"
"2024-01-01 08:33:08","3.39","0.06","1.28","13.30"
"2024-01-01 08:38:08","4.41","0.07","1.24","13.50"
