"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-10-01 00:04:09","-1.93","-0.03","0.75","13.00"
"2023-10-01 00:11:09","-2.14","-0.03","0.54","12.90"
"2023-10-01 00:18:08","-1.88","-0.03","0.42","12.90"
"2023-10-01 00:25:08","-1.86","-0.03","0.34","12.90"
"2023-10-01 00:32:09","0.00","0.00","0.28","12.90"
"2023-10-01 00:39:09","-1.91","-0.03","0.24","12.90"
"2023-10-01 00:46:09","-1.68","-0.03","0.21","12.90"
"2023-10-01 00:53:10","-1.68","-0.03","0.19","12.90"
"2023-10-01 01:00:10","-2.05","-0.03","0.18","12.90"
"2023-10-01 01:07:10","0.00","0.00","0.17","12.90"
"2023-10-01 01:14:11","-1.75","-0.03","0.16","12.90"
"2023-10-01 01:21:11","-2.01","-0.03","0.15","12.90"
"2023-10-01 01:28:12","-1.79","-0.03","0.15","12.90"
"2023-10-01 01:35:12","0.00","-0.03","0.14","12.90"
"2023-10-01 01:42:12","-1.83","-0.03","0.14","12.90"
"2023-10-01 01:49:13","0.00","0.00","0.13","12.90"
"2023-10-01 01:56:13","-1.70","-0.03","0.13","12.80"
"2023-10-01 02:03:13","-1.82","-0.03","0.12","12.80"
"2023-10-01 02:10:14","-1.73","-0.03","0.12","12.80"
"2023-10-01 02:17:14","-1.68","-0.03","0.12","12.80"
"2023-10-01 02:24:14","-1.76","-0.03","0.11","12.80"
"2023-10-01 02:31:15","0.00","0.00","0.11","12.80"
"2023-10-01 02:38:15","-1.68","-0.03","0.11","12.80"
"2023-10-01 02:45:15","-1.82","-0.03","0.11","12.80"
"2023-10-01 02:52:16","0.00","0.00","0.10","12.80"
"2023-10-01 02:59:20","0.00","0.00","0.10","12.80"
"2023-10-01 03:06:16","-1.69","-0.03","0.10","12.80"
"2023-10-01 03:13:17","0.00","0.00","0.10","12.80"
"2023-10-01 03:20:17","-1.88","-0.03","0.09","12.80"
"2023-10-01 03:27:18","0.00","0.00","0.10","12.80"
"2023-10-01 03:34:18","0.00","0.00","0.09","12.80"
"2023-10-01 03:41:18","0.00","0.00","0.09","12.80"
"2023-10-01 03:48:19","0.00","0.00","0.09","12.80"
"2023-10-01 03:55:19","-1.74","-0.03","0.09","12.80"
"2023-10-01 04:02:19","-1.67","-0.03","0.08","12.80"
