"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-09-01 00:04:21","0.00","0.00","0.76","13.00"
"2023-09-01 00:09:20","0.00","0.00","0.63","13.00"
"2023-09-01 00:14:21","0.00","0.00","0.53","13.00"
"2023-09-01 00:19:21","0.00","0.00","0.45","12.90"
"2023-09-01 00:24:21","0.00","0.00","0.39","12.90"
"2023-09-01 00:29:21","0.00","0.00","0.35","12.90"
"2023-09-01 00:34:22","0.00","0.00","0.30","12.90"
"2023-09-01 00:39:22","0.00","0.00","0.27","12.90"
"2023-09-01 00:44:22","0.00","0.00","0.24","12.90"
"2023-09-01 00:49:22","0.00","0.00","0.22","12.90"
"2023-09-01 00:54:23","0.00","0.00","0.20","12.90"
"2023-09-01 00:59:32","0.00","0.00","0.19","12.90"
"2023-09-01 01:04:23","0.00","0.00","0.18","12.90"
"2023-09-01 01:09:23","0.00","0.00","0.17","12.90"
"2023-09-01 01:14:24","0.00","0.00","0.16","12.90"
"2023-09-01 01:19:24","0.00","0.00","0.16","12.90"
"2023-09-01 01:24:24","0.00","0.00","0.15","12.90"
"2023-09-01 01:29:24","0.00","0.00","0.15","12.90"
"2023-09-01 01:34:25","0.00","0.00","0.14","12.80"
"2023-09-01 01:39:25","0.00","0.00","0.14","12.80"
"2023-09-01 01:44:25","0.00","0.00","0.13","12.80"
"2023-09-01 01:49:26","0.00","0.00","0.12","12.80"
"2023-09-01 01:54:26","0.00","0.00","0.12","12.80"
"2023-09-01 01:59:29","0.00","0.00","0.12","12.80"
"2023-09-01 02:04:26","0.00","0.00","0.11","12.80"
"2023-09-01 02:09:26","0.00","0.00","0.11","12.80"
"2023-09-01 02:14:27","0.00","0.00","0.11","12.80"
"2023-09-01 02:19:27","0.00","0.00","0.10","12.80"
"2023-09-01 02:24:27","0.00","0.00","0.10","12.80"
"2023-09-01 02:29:27","0.00","0.00","0.10","12.80"
"2023-09-01 02:34:28","0.00","0.00","0.09","12.80"
"2023-09-01 02:39:28","0.00","0.00","0.09","12.80"
"2023-09-01 02:44:28","0.00","0.00","0.09","12.80"
"2023-09-01 02:49:28","0.00","0.00","0.09","12.80"
"2023-09-01 02:54:29","0.00","0.00","0.08","12.80"
"2023-09-01 02:59:32","0.00","0.00","0.08","12.80"
"2023-09-01 03:04:29","0.00","0.00","0.08","12.80"
"2023-09-01 03:09:29","0.00","0.00","0.08","12.80"
"2023-09-01 03:14:30","0.00","0.00","0.08","12.80"
"2023-09-01 03:19:30","0.00","0.00","0.07","12.80"
"2023-09-01 03:24:30","0.00","0.00","0.07","12.80"
"2023-09-01 03:29:30","0.00","0.00","0.07","12.80"
"2023-09-01 03:34:31","0.00","0.00","0.06","12.80"
"2023-09-01 03:39:31","0.00","0.00","0.06","12.80"
"2023-09-01 03:44:31","0.00","0.00","0.06","12.80"
"2023-09-01 03:49:31","0.00","0.00","0.06","12.80"
"2023-09-01 03:54:32","0.00","0.00","0.06","12.70"
"2023-09-01 03:59:35","0.00","0.00","0.06","12.70"
"2023-09-01 04:04:32","0.00","0.00","0.06","12.70"
"2023-09-01 04:09:32","0.00","0.00","0.06","12.70"
"2023-09-01 04:14:33","0.00","0.00","0.05","12.70"
"2023-09-01 04:19:33","0.00","0.00","0.05","12.70"
"2023-09-01 04:24:33","0.00","0.00","0.06","12.70"
"2023-09-01 04:29:33","0.00","0.00","0.06","12.70"
"2023-09-01 04:34:34","9.73","0.17","0.71","12.70"
"2023-09-01 04:39:34","4.49","0.07","1.11","12.70"
"2023-09-01 04:44:34","2.89","0.05","1.16","12.70"
"2023-09-01 04:49:34","2.80","0.04","1.17","12.70"
"2023-09-01 04:54:35","2.21","0.03","1.17","12.70"
"2023-09-01 04:59:38","2.30","0.04","1.18","12.60"
"2023-09-01 05:04:35","2.58","0.04","1.16","12.60"
"2023-09-01 05:09:35","2.83","0.05","1.17","12.60"
"2023-09-01 05:14:36","2.88","0.05","1.17","12.60"
"2023-09-01 05:19:36","2.65","0.04","1.17","12.60"
"2023-09-01 05:24:36","3.03","0.05","1.17","12.60"
"2023-09-01 05:29:36","3.20","0.05","1.17","12.60"
"2023-09-01 05:34:37","3.64","0.06","1.18","12.60"
"2023-09-01 05:39:37","3.75","0.06","1.18","12.60"
"2023-09-01 05:44:37","3.25","0.05","1.18","12.60"
"2023-09-01 05:49:37","2.65","0.04","1.17","12.60"
"2023-09-01 05:54:38","2.90","0.05","1.18","12.60"
"2023-09-01 05:59:41","2.90","0.05","1.17","12.60"
"2023-09-01 06:04:38","2.45","0.04","1.16","12.60"
"2023-09-01 06:09:38","2.00","0.03","1.17","12.60"
"2023-09-01 06:14:39","3.25","0.05","1.16","12.60"
"2023-09-01 06:19:39","3.43","0.06","1.16","12.60"
"2023-09-01 06:24:39","3.38","0.05","1.17","12.60"
"2023-09-01 06:29:39","4.04","0.07","1.16","12.60"
"2023-09-01 06:34:40","2.37","0.04","1.16","12.60"
"2023-09-01 06:39:40","3.21","0.05","1.16","12.60"
"2023-09-01 06:44:40","2.94","0.05","1.16","12.60"
"2023-09-01 06:49:40","2.99","0.05","1.14","12.60"
"2023-09-01 06:54:41","2.40","0.04","1.13","12.60"
"2023-09-01 06:59:45","2.75","0.05","1.14","12.60"
"2023-09-01 07:04:41","2.13","0.03","1.13","12.70"
"2023-09-01 07:09:42","1.94","0.03","1.09","12.70"
"2023-09-01 07:14:42","2.07","0.03","1.07","12.80"
"2023-09-01 07:19:42","3.28","0.05","1.06","12.80"
"2023-09-01 07:24:42","4.89","0.08","1.10","12.80"
"2023-09-01 07:29:42","4.66","0.08","1.12","12.90"
"2023-09-01 07:34:43","2.90","0.05","1.10","13.00"
"2023-09-01 07:39:43","3.12","0.05","1.10","13.10"
"2023-09-01 07:44:43","4.39","0.08","1.17","13.10"
"2023-09-01 07:49:43","3.99","0.07","1.14","13.10"
"2023-09-01 07:54:44","4.81","0.08","1.18","13.20"
"2023-09-01 07:59:56","3.77","0.06","1.17","13.20"
"2023-09-01 08:04:44","3.68","0.06","1.15","13.30"
"2023-09-01 08:09:44","2.40","0.04","1.16","13.30"
"2023-09-01 08:14:51","2.74","0.04","1.17","13.30"
"2023-09-01 08:19:45","2.63","0.04","1.13","13.40"
"2023-09-01 08:24:47","3.32","0.05","1.13","13.30"
"2023-09-01 08:29:48","4.16","0.07","1.09","13.50"
"2023-09-01 08:34:46","4.41","0.08","1.12","13.50"
"2023-09-01 08:39:48","4.99","0.09","1.13","13.50"
"2023-09-01 08:44:46","5.31","0.09","1.13","13.60"
"2023-09-01 08:49:46","3.70","0.06","1.13","13.60"
"2023-09-01 08:54:47","3.93","0.07","1.13","13.60"
"2023-09-01 09:00:14","4.04","0.07","1.14","13.60"
"2023-09-01 09:04:47","3.99","0.07","1.12","13.50"
"2023-09-01 09:09:47","3.94","0.06","1.13","13.50"
"2023-09-01 09:14:48","4.99","0.09","1.07","13.60"
"2023-09-01 09:19:48","3.64","0.06","1.10","13.60"
"2023-09-01 09:24:48","4.61","0.08","1.12","13.60"
"2023-09-01 09:29:48","4.64","0.08","1.06","13.60"
"2023-09-01 09:34:49","4.29","0.07","1.09","13.60"
"2023-09-01 09:39:49","3.83","0.06","1.07","13.60"
"2023-09-01 09:44:49","4.39","0.07","1.09","13.60"
"2023-09-01 09:49:50","4.06","0.07","1.09","13.60"
"2023-09-01 09:54:50","3.27","0.06","1.10","13.70"
"2023-09-01 09:59:53","4.79","0.08","1.14","13.70"
"2023-09-01 10:04:50","2.94","0.05","1.16","13.80"
"2023-09-01 10:09:50","3.93","0.07","1.11","13.80"
"2023-09-01 10:14:51","4.81","0.08","1.16","13.80"
"2023-09-01 10:19:51","3.87","0.07","1.14","13.80"
"2023-09-01 10:24:51","2.50","0.04","1.12","13.80"
"2023-09-01 10:29:51","3.32","0.05","1.11","13.90"
"2023-09-01 10:34:52","2.99","0.05","1.07","13.90"
"2023-09-01 10:39:52","4.06","0.07","1.11","13.90"
"2023-09-01 10:44:52","2.95","0.05","1.13","14.00"
"2023-09-01 10:49:53","3.80","0.06","1.14","14.00"
"2023-09-01 10:54:53","4.61","0.08","1.18","14.00"
"2023-09-01 10:59:56","4.18","0.07","1.19","14.00"
"2023-09-01 11:04:53","5.11","0.09","1.21","14.00"
"2023-09-01 11:09:54","4.64","0.08","1.18","14.10"
"2023-09-01 11:14:54","4.54","0.08","1.20","13.90"
"2023-09-01 11:19:54","2.71","0.04","1.14","14.10"
"2023-09-01 11:24:54","3.99","0.07","1.14","14.00"
"2023-09-01 11:29:55","3.93","0.07","1.13","14.10"
"2023-09-01 11:34:55","2.74","0.04","1.15","14.20"
"2023-09-01 11:39:55","2.93","0.05","1.12","14.10"
"2023-09-01 11:44:55","4.36","0.07","1.09","14.20"
"2023-09-01 11:49:55","3.46","0.06","1.13","14.30"
"2023-09-01 11:54:56","2.52","0.04","1.12","13.90"
"2023-09-01 12:00:00","3.70","0.06","1.10","14.30"
"2023-09-01 12:04:56","3.39","0.06","1.09","14.10"
"2023-09-01 12:09:57","3.46","0.06","1.09","14.30"
"2023-09-01 12:14:57","3.62","0.06","1.09","14.30"
"2023-09-01 12:19:57","3.32","0.05","1.09","14.30"
"2023-09-01 12:24:57","2.27","0.03","1.09","14.30"
"2023-09-01 12:29:57","2.58","0.04","1.06","13.70"
"2023-09-01 12:34:58","4.01","0.07","1.07","14.30"
"2023-09-01 12:39:58","2.70","0.04","1.09","14.30"
"2023-09-01 12:44:58","3.93","0.07","1.09","14.30"
"2023-09-01 12:49:59","3.15","0.05","1.07","14.30"
"2023-09-01 12:54:59","3.30","0.05","1.09","14.30"
"2023-09-01 13:00:08","3.03","0.05","1.10","14.40"
"2023-09-01 13:04:59","2.65","0.04","1.10","14.30"
"2023-09-01 13:10:00","2.28","0.04","1.12","14.30"
"2023-09-01 13:15:00","3.15","0.05","1.14","14.40"
"2023-09-01 13:20:00","2.77","0.05","1.13","13.80"
