"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-09-01 00:04:30","0.00","0.00","0.76","11.30"
"2023-09-01 00:09:29","0.00","0.00","0.64","11.30"
"2023-09-01 00:14:30","0.00","0.00","0.54","11.20"
"2023-09-01 00:19:30","0.00","0.00","0.46","11.10"
"2023-09-01 00:24:30","0.00","0.00","0.40","11.10"
"2023-09-01 00:29:31","0.00","0.00","0.36","11.00"
"2023-09-01 00:34:31","0.00","0.00","0.31","11.00"
"2023-09-01 00:39:31","0.00","0.00","0.28","10.90"
"2023-09-01 00:44:31","0.00","0.00","0.25","10.80"
"2023-09-01 00:49:32","0.00","0.00","0.23","10.80"
"2023-09-01 00:54:32","0.00","0.00","0.21","10.70"
"2023-09-01 00:59:41","0.00","0.00","0.20","10.60"
"2023-09-01 01:04:32","0.00","0.00","0.19","10.60"
"2023-09-01 01:09:33","0.00","0.00","0.18","10.50"
"2023-09-01 01:14:33","0.00","0.00","0.18","10.40"
"2023-09-01 01:19:33","0.00","0.00","0.17","10.30"
"2023-09-01 01:24:33","0.00","0.00","0.16","10.20"
"2023-09-01 01:29:33","0.00","0.00","0.16","10.10"
"2023-09-01 01:34:34","0.00","0.00","0.16","10.10"
"2023-09-01 07:10:44","14.37","0.25","1.09","11.20"
"2023-09-01 07:14:51","14.33","0.25","1.07","11.60"
"2023-09-01 07:19:51","14.12","0.25","1.04","11.60"
"2023-09-01 07:24:51","0.00","0.00","1.09","11.90"
"2023-09-01 07:29:52","0.00","0.00","1.11","12.00"
"2023-09-01 07:34:52","2.93","0.04","1.11","12.00"
"2023-09-01 07:39:52","3.03","0.05","1.09","12.00"
"2023-09-01 07:44:52","0.00","0.00","1.15","12.00"
"2023-09-01 07:49:53","0.00","0.00","1.13","12.10"
"2023-09-01 07:54:53","0.00","0.00","1.17","12.10"
"2023-09-01 08:00:12","0.00","0.00","1.18","12.10"
"2023-09-01 08:04:53","0.00","0.00","1.14","12.10"
"2023-09-01 08:09:54","0.00","0.00","1.15","12.20"
"2023-09-01 08:15:11","0.00","0.00","1.18","12.30"
"2023-09-01 08:19:54","0.00","0.00","1.13","12.30"
"2023-09-01 08:25:03","0.00","0.00","1.13","12.30"
"2023-09-01 08:29:59","0.00","0.00","1.09","12.40"
"2023-09-01 08:35:05","2.20","0.04","1.10","12.50"
"2023-09-01 08:40:12","2.34","0.04","1.13","12.50"
"2023-09-01 08:44:55","3.78","0.07","1.10","12.30"
"2023-09-01 08:49:56","0.00","0.00","1.13","12.10"
"2023-09-01 08:54:56","4.01","0.08","1.09","12.30"
"2023-09-01 09:00:41","0.00","0.00","1.14","12.10"
"2023-09-01 09:04:56","0.00","0.00","1.12","12.20"
"2023-09-01 09:09:57","0.00","0.00","1.12","12.20"
"2023-09-01 09:14:57","0.00","0.00","1.06","12.10"
"2023-09-01 09:19:57","2.68","0.05","1.07","12.20"
"2023-09-01 09:24:57","2.28","0.04","1.10","12.10"
"2023-09-01 09:29:58","0.00","0.00","1.06","12.20"
"2023-09-01 09:34:58","0.00","0.00","1.09","12.10"
"2023-09-01 09:39:58","2.74","0.04","1.07","12.10"
"2023-09-01 09:44:58","3.46","0.06","1.09","12.10"
"2023-09-01 09:49:59","0.00","0.00","1.07","12.10"
"2023-09-01 09:54:59","0.00","0.00","1.10","12.10"
"2023-09-01 10:00:03","0.00","0.00","1.13","12.10"
"2023-09-01 10:04:59","2.32","0.04","1.15","12.10"
"2023-09-01 10:10:00","0.00","0.00","1.12","12.10"
"2023-09-01 10:15:00","0.00","0.00","1.17","12.10"
"2023-09-01 10:20:00","0.00","0.00","1.15","12.10"
"2023-09-01 10:25:00","0.00","0.00","1.12","12.10"
"2023-09-01 10:30:01","5.86","0.10","1.09","12.10"
"2023-09-01 10:35:01","6.01","0.10","1.07","12.10"
"2023-09-01 10:40:01","0.00","0.00","1.11","12.10"
