"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-12-01 07:59:26","2.57","0.04","1.09","10.40"
"2023-12-01 08:03:26","0.00","0.00","1.07","10.80"
"2023-12-01 08:08:26","0.00","0.00","1.06","11.30"
"2023-12-01 08:13:28","0.00","0.00","1.06","12.10"
"2023-12-01 08:18:26","0.00","0.00","1.06","12.10"
"2023-12-01 08:23:28","1.81","0.00","1.06","12.20"
"2023-12-01 08:28:27","0.00","0.00","1.06","12.10"
"2023-12-01 08:33:27","0.00","0.00","1.07","12.10"
"2023-12-01 08:38:28","0.00","0.00","1.10","12.10"
"2023-12-01 08:43:27","0.00","0.00","1.13","12.10"
"2023-12-01 08:48:29","3.88","0.06","1.09","12.50"
"2023-12-01 08:53:30","0.00","0.00","1.04","12.20"
"2023-12-01 08:58:29","5.54","0.10","1.03","12.10"
"2023-12-01 09:03:30","3.88","0.07","1.06","12.10"
"2023-12-01 09:08:30","0.00","0.00","1.06","12.10"
"2023-12-01 09:13:30","0.00","0.00","1.04","12.10"
"2023-12-01 09:18:31","5.54","0.09","1.04","12.10"
"2023-12-01 09:23:31","1.68","0.00","1.04","12.10"
"2023-12-01 09:28:30","0.00","0.00","1.06","12.10"
"2023-12-01 09:33:31","1.81","0.03","1.04","12.10"
"2023-12-01 09:38:30","0.00","0.03","1.03","12.00"
"2023-12-01 09:43:36","0.00","0.00","1.03","12.00"
"2023-12-01 09:48:32","0.00","0.00","1.07","12.10"
"2023-12-01 09:53:33","0.00","0.00","1.06","12.10"
"2023-12-01 09:58:40","0.00","0.00","1.11","12.20"
"2023-12-01 10:03:33","0.00","0.00","1.13","12.10"
"2023-12-01 10:08:34","0.00","0.00","1.13","12.10"
"2023-12-01 10:13:33","0.00","0.00","1.12","12.10"
"2023-12-01 10:18:33","4.74","0.07","1.11","12.20"
"2023-12-01 10:23:34","0.00","0.00","1.15","12.10"
"2023-12-01 10:28:34","1.68","0.00","1.14","12.10"
"2023-12-01 10:33:34","0.00","0.00","1.15","12.10"
"2023-12-01 10:38:34","4.39","0.07","1.14","12.20"
"2023-12-01 10:43:34","0.00","0.00","1.13","12.10"
"2023-12-01 10:48:37","0.00","0.00","1.13","12.20"
"2023-12-01 10:53:35","0.00","0.00","1.13","12.10"
"2023-12-01 10:58:35","0.00","0.00","1.12","12.10"
"2023-12-01 11:03:36","0.00","0.00","1.17","12.10"
"2023-12-01 11:08:36","0.00","0.00","1.16","12.10"
"2023-12-01 11:13:37","0.00","0.00","1.19","12.20"
"2023-12-01 11:18:36","0.00","0.00","1.17","12.10"
"2023-12-01 11:23:36","0.00","0.00","1.15","12.10"
"2023-12-01 11:28:36","0.00","0.00","1.16","12.10"
"2023-12-01 11:33:36","0.00","0.00","1.16","12.20"
"2023-12-01 11:38:37","0.00","0.00","1.19","12.10"
"2023-12-01 11:43:38","0.00","0.00","1.04","12.10"
"2023-12-01 11:48:37","2.18","0.03","1.13","12.10"
"2023-12-01 11:53:37","0.00","0.00","1.13","12.20"
"2023-12-01 11:58:38","0.00","0.00","1.15","12.10"
"2023-12-01 12:03:38","0.00","0.00","1.15","12.10"
"2023-12-01 12:08:38","0.00","0.00","1.16","12.30"
"2023-12-01 12:13:39","0.00","0.00","1.16","12.10"
"2023-12-01 12:18:39","0.00","0.00","1.16","12.10"
"2023-12-01 12:23:40","0.00","0.00","1.13","12.20"
"2023-12-01 12:28:39","0.00","0.00","1.16","12.10"
"2023-12-01 12:33:39","0.00","0.00","1.15","12.10"
"2023-12-01 12:38:40","0.00","0.00","1.14","12.10"
"2023-12-01 12:43:41","3.28","0.05","1.09","12.10"
"2023-12-01 12:48:41","0.00","0.00","1.10","12.10"
"2023-12-01 12:53:41","2.57","0.04","1.06","12.20"
"2023-12-01 12:58:42","0.00","0.00","1.10","12.10"
"2023-12-01 13:03:42","0.00","0.03","1.09","12.10"
"2023-12-01 13:08:42","0.00","0.00","1.14","12.10"
"2023-12-01 13:13:43","0.00","0.00","1.14","12.10"
"2023-12-01 13:18:42","0.00","0.00","1.12","12.10"
"2023-12-01 13:23:42","0.00","0.00","1.14","12.10"
"2023-12-01 13:28:43","0.00","0.00","1.13","12.10"
"2023-12-01 13:33:44","0.00","0.00","1.16","12.10"
"2023-12-01 13:38:43","0.00","0.00","1.16","12.20"
"2023-12-01 13:43:43","0.00","0.00","1.15","12.10"
"2023-12-01 13:48:44","4.31","0.07","1.14","12.10"
"2023-12-01 13:53:44","0.00","0.00","1.14","12.20"
"2023-12-01 13:58:44","2.50","0.04","1.14","12.20"
"2023-12-01 14:03:44","0.00","0.00","1.15","12.10"
"2023-12-01 14:08:46","0.00","0.00","1.15","12.10"
"2023-12-01 14:13:46","0.00","0.00","1.16","12.10"
"2023-12-01 14:18:45","0.00","0.00","1.16","12.10"
"2023-12-01 14:23:46","0.00","0.00","1.17","12.10"
"2023-12-01 14:28:47","0.00","0.00","1.18","12.20"
"2023-12-01 14:33:46","0.00","0.00","1.19","12.10"
"2023-12-01 14:38:47","0.00","0.00","1.18","12.10"
"2023-12-01 14:43:47","0.00","0.00","1.17","12.10"
"2023-12-01 14:48:46","0.00","0.00","1.19","12.10"
"2023-12-01 14:53:47","0.00","0.00","1.19","12.10"
"2023-12-01 14:58:46","0.00","0.00","1.19","12.20"
"2023-12-01 15:03:48","0.00","0.00","1.19","12.10"
"2023-12-01 15:08:48","0.00","0.00","1.20","12.10"
"2023-12-01 15:13:49","0.00","0.00","1.20","12.20"
"2023-12-01 15:18:48","0.00","0.00","1.17","12.10"
"2023-12-01 15:23:49","0.00","0.00","1.19","12.20"
"2023-12-01 15:28:50","0.00","0.00","1.20","12.10"
"2023-12-01 15:33:51","0.00","0.00","1.21","12.10"
"2023-12-01 15:38:52","0.00","0.00","1.22","12.10"
"2023-12-01 15:43:49","0.00","0.00","1.22","12.10"
"2023-12-01 15:48:51","0.00","0.00","1.21","12.10"
"2023-12-01 15:53:49","0.00","0.00","1.22","12.10"
"2023-12-01 15:58:52","0.00","0.00","1.24","12.10"
"2023-12-01 16:03:50","0.00","0.00","1.24","12.10"
"2023-12-01 16:08:51","0.00","0.00","1.21","12.10"
"2023-12-01 16:13:51","0.00","0.00","1.11","12.10"
"2023-12-01 16:18:53","0.00","0.00","1.16","12.10"
"2023-12-01 16:23:51","0.00","0.00","1.18","12.10"
"2023-12-01 16:28:52","0.00","0.00","1.15","12.20"
"2023-12-01 16:33:53","0.00","0.00","1.16","12.10"
