"Date Time","Slave_Device1_CH1_FLOW m3/h","Slave_Device1_CH2_VELOCITY m/s","Slave_Device1_CH3_Pressure BAR","Slave_Device1_CH4_Voltage V"
"2023-12-01 00:11:00","0.00","0.00","0.69","10.80"
"2023-12-01 00:18:01","0.00","0.00","0.50","10.80"
"2023-12-01 00:25:01","0.00","0.00","0.40","10.80"
"2023-12-01 00:32:01","0.00","0.00","0.33","10.70"
"2023-12-01 07:53:26","9.33","0.16","1.07","13.10"
"2023-12-01 07:59:31","10.48","0.18","1.06","13.30"
"2023-12-01 08:03:33","11.73","0.21","1.06","13.30"
"2023-12-01 08:08:32","13.08","0.23","1.04","13.50"
"2023-12-01 08:13:33","11.98","0.21","1.04","13.50"
"2023-12-01 08:18:32","11.87","0.21","1.04","13.50"
"2023-12-01 08:23:34","11.98","0.21","1.04","13.60"
"2023-12-01 08:28:33","11.28","0.20","1.04","13.60"
"2023-12-01 08:33:32","12.08","0.22","1.06","13.80"
"2023-12-01 08:38:33","13.08","0.23","1.09","14.00"
"2023-12-01 08:43:37","12.73","0.23","1.12","14.10"
"2023-12-01 08:48:35","16.16","0.29","1.06","14.10"
"2023-12-01 08:53:38","15.03","0.26","1.04","14.20"
"2023-12-01 08:58:35","15.28","0.27","1.01","14.20"
"2023-12-01 09:03:36","15.28","0.27","1.06","14.20"
"2023-12-01 09:08:35","15.08","0.27","1.04","14.10"
"2023-12-01 09:13:35","16.66","0.29","1.01","14.30"
"2023-12-01 09:18:37","15.62","0.28","1.01","14.20"
"2023-12-01 09:23:36","15.48","0.27","1.03","14.20"
"2023-12-01 09:28:35","15.53","0.28","1.04","14.20"
"2023-12-01 09:33:37","15.83","0.28","1.03","14.20"
"2023-12-01 09:38:35","14.28","0.26","1.00","14.20"
"2023-12-01 09:43:41","14.08","0.25","1.01","14.30"
"2023-12-01 09:48:37","13.23","0.23","1.04","14.30"
"2023-12-01 09:53:39","14.58","0.26","1.04","14.30"
"2023-12-01 09:58:47","10.53","0.18","1.09","14.40"
"2023-12-01 10:03:40","10.62","0.19","1.11","14.50"
"2023-12-01 10:08:39","13.08","0.23","1.11","14.50"
"2023-12-01 10:13:39","12.83","0.23","1.09","14.50"
"2023-12-01 10:18:38","13.62","0.24","1.09","14.60"
"2023-12-01 10:23:39","12.98","0.23","1.13","14.70"
"2023-12-01 10:28:40","13.33","0.24","1.12","14.60"
"2023-12-01 10:33:40","11.87","0.21","1.13","14.70"
"2023-12-01 10:38:42","12.08","0.22","1.12","14.70"
"2023-12-01 10:43:40","14.12","0.25","1.10","14.80"
"2023-12-01 10:48:44","11.73","0.20","1.11","14.80"
"2023-12-01 10:53:40","12.28","0.22","1.11","14.50"
"2023-12-01 10:58:41","10.28","0.18","1.09","14.50"
"2023-12-01 11:03:41","10.58","0.19","1.15","14.80"
"2023-12-01 11:08:43","9.87","0.17","1.14","14.70"
"2023-12-01 11:13:43","9.58","0.17","1.16","14.60"
"2023-12-01 11:18:43","10.48","0.18","1.16","14.70"
"2023-12-01 11:23:42","13.12","0.23","1.13","14.80"
"2023-12-01 11:28:41","10.98","0.19","1.14","14.70"
"2023-12-01 11:33:41","11.87","0.21","1.14","14.90"
